YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,7,17,5,UA,3844,N755XX,ATL,MIA,1228,1225,-3,22,1247,407,411,381,2955,1908,8,1915,1916,0,0,0,,,,,,
2015,1,25,7,EV,4574,N353XX,SEA,LAX,555,546,-9,28,614,330,359,317,2364,1131,14,1125,1145,-15,0,0,,,,,,
2015,8,29,6,DL,1195,N762XX,ORD,SEA,847,841,-6,22,903,207,215,185,1379,1208,8,1214,1216,-14,0,0,,,,,,
2015,12,8,2,AA,304,N250XX,SFO,IAH,1356,1348,-8,30,1418,273,290,243,1960,1821,17,1829,1838,-18,0,0,,,,,,
2015,1,24,6,HA,615,N190XX,JFK,ATL,1634,1626,-8,37,1703,364,400,349,2668,2252,14,2238,2306,-1,0,0,,,,,,
2015,3,24,2,UA,2478,N945XX,JFK,LAS,2013,2006,-7,26,2032,285,297,261,1976,53,10,58,103,-6,0,0,,,,,,
2015,6,30,2,F9,5379,N695XX,PHX,CLT,1626,1625,-1,30,1655,193,198,163,1363,1938,5,1939,1943,-10,0,0,,,,,,
2015,8,24,1,MQ,5801,N779XX,SFO,SEA,2001,2005,4,17,2022,203,198,176,1459,2318,5,2324,2323,-4,0,0,,,,,,
2015,12,26,6,B6,6103,N265XX,LAX,ORD,627,638,11,13,651,305,305,282,2275,1133,10,1132,1143,12,0,0,,,,,,
2015,11,28,6,F9,7044,N567XX,ORD,PHX,2007,2001,-6,36,2037,234,268,222,1553,19,10,1,29,-9,0,0,,,,,,
2015,7,21,2,NK,1452,N834XX,ORD,MIA,1946,1942,-4,35,2017,147,170,129,997,2226,6,2213,2232,-13,0,0,,,,,,
2015,11,1,7,AA,2135,N541XX,MCO,JFK,2322,2316,-6,35,2351,255,286,235,1884,346,16,337,402,1,0,0,,,,,,
2015,5,31,7,VX,2478,N665XX,MIA,IAH,1933,1930,-3,38,2008,331,354,310,2376,118,6,104,124,-3,0,0,,,,,,
2015,11,23,1,NK,9631,N316XX,MIA,PHX,809,814,5,38,852,292,327,279,2116,1331,10,1301,1341,-2,0,0,,,,,,
2015,3,30,1,OO,8706,N559XX,MCO,SEA,1020,1044,24,20,1104,152,157,123,1015,1307,14,1252,1321,21,0,0,,0.0,0.0,0.0,21.0,0.0
2015,12,30,3,NK,3057,N919XX,DEN,MIA,1712,1711,-1,34,1745,361,391,346,2727,2331,11,2313,2342,-4,0,0,,,,,,
2015,12,24,4,DL,428,N175XX,DEN,CLT,1929,1920,-9,17,1937,51,50,23,221,2000,10,2020,2010,-18,0,0,,,,,,
2015,12,2,3,HA,8136,N306XX,JFK,LAS,1649,1641,-8,31,1712,249,260,219,1745,2051,10,2058,2101,-4,0,0,,,,,,
2015,8,30,7,AS,2032,N417XX,SEA,DEN,1452,1544,52,19,1603,292,307,279,2038,2042,9,1944,2051,54,0,0,,0.0,0.0,41.0,13.0,0.0
2015,12,3,4,F9,1928,N522XX,PHX,MIA,1825,1821,-4,40,1901,375,416,359,2719,100,17,40,117,-5,0,0,,,,,,
2015,6,1,1,VX,7508,N452XX,SEA,DFW,1921,1917,-4,22,1939,77,99,61,403,2040,16,2038,2056,5,0,0,,,,,,
2015,1,30,5,F9,7065,N152XX,PHX,SEA,816,808,-8,19,827,339,344,316,2440,1343,9,1355,1352,-18,0,0,,,,,,
2015,7,13,1,MQ,7617,N846XX,LAS,SFO,2046,2038,-8,22,2100,92,96,66,563,2206,8,2218,2214,-7,0,0,,,,,,
2015,8,25,2,AA,4605,N671XX,JFK,DFW,2148,2341,113,38,19,283,319,266,2106,445,15,231,500,113,0,0,,0.0,0.0,0.0,113.0,0.0
2015,11,21,6,VX,6564,N589XX,ORD,PHX,2052,2043,-9,11,2054,251,252,226,1768,40,15,103,55,-17,0,0,,,,,,
2015,7,13,1,EV,7471,N731XX,LAX,DEN,2009,2002,-7,23,2025,324,327,297,2407,122,7,133,129,-3,0,0,,,,,,
2015,4,19,7,AS,9584,N830XX,SEA,JFK,535,537,2,20,557,160,178,138,982,815,20,815,835,5,0,0,,,,,,
2015,8,10,1,AS,2167,N111XX,LAS,SEA,713,708,-5,33,741,183,201,160,1277,1021,8,1016,1029,3,0,0,,,,,,
2015,12,13,7,F9,4251,N253XX,IAH,MCO,917,915,-2,18,933,146,150,119,910,1132,13,1143,1145,-8,0,0,,,,,,
2015,8,2,7,F9,2571,N908XX,PHX,IAH,547,552,5,18,610,90,107,70,505,720,19,717,739,3,0,0,,,,,,
2015,7,10,5,MQ,3653,N655XX,PHX,IAH,2341,2351,10,20,11,156,169,137,945,228,12,217,240,2,0,0,,,,,,
2015,2,9,1,UA,5724,N250XX,LAS,MIA,1454,1452,-2,40,1532,301,328,277,2245,2009,11,1955,2020,-10,0,0,,,,,,
2015,6,5,5,EV,7944,N535XX,LAX,PHX,631,636,5,37,713,183,209,154,1153,947,18,934,1005,-3,0,0,,,,,,
2015,12,29,2,MQ,5436,N357XX,ORD,SEA,1143,1134,-9,25,1159,217,221,189,1417,1508,7,1520,1515,-17,0,0,,,,,,
2015,9,21,1,AS,5964,N477XX,DEN,MIA,1652,1648,-4,31,1719,399,434,389,2932,2348,14,2331,2,-3,0,0,,,,,,
2015,10,21,3,EV,1594,N193XX,LAS,DEN,1845,1848,3,35,1923,298,339,284,2168,7,20,2343,27,-4,0,0,,,,,,
2015,7,1,3,DL,4222,N888XX,DEN,MIA,704,658,-6,15,713,72,71,48,420,801,8,816,809,-9,0,0,,,,,,
2015,10,6,2,WN,1657,N562XX,ATL,LAX,1534,1525,-9,24,1549,289,314,271,2085,2020,19,2023,2039,-3,0,0,,,,,,
2015,3,3,2,US,6862,N698XX,SFO,IAH,2046,2036,-10,37,2113,123,149,101,688,2254,11,2249,2305,-19,0,0,,,,,,
2015,8,13,4,NK,7122,N819XX,SEA,DEN,503,0,0,26,0,135,0,0,802,0,14,2301,0,0,0,1,D,,,,,
2015,4,16,4,WN,7910,N106XX,SEA,LAX,1211,1225,14,26,1251,203,211,178,1325,1549,7,1534,1556,11,0,0,,,,,,
2015,11,2,1,F9,3657,N663XX,SEA,PHX,1731,1736,5,27,1803,111,143,97,637,1940,19,1922,1959,11,0,0,,,,,,
2015,11,10,2,EV,7710,N114XX,LAX,JFK,807,759,-8,30,829,183,210,172,1285,1121,8,1110,1129,-18,0,0,,,,,,
2015,12,22,2,DL,9128,N497XX,SFO,LAX,1544,1538,-6,37,1615,342,372,323,2455,2138,12,2126,2150,-13,0,0,,,,,,
2015,7,10,5,NK,3879,N747XX,JFK,ATL,1820,1814,-6,22,1836,206,221,184,1418,2140,15,2146,2155,-10,0,0,,,,,,
2015,2,3,2,AA,7461,N530XX,MIA,ATL,1846,1916,30,31,1947,145,165,123,994,2150,11,2111,2201,36,0,0,,0.0,0.0,0.0,36.0,0.0
2015,1,25,7,UA,3998,N996XX,JFK,DFW,1111,1113,2,26,1139,377,402,363,2862,1742,13,1728,1755,9,0,0,,,,,,
2015,3,28,6,EV,9386,N914XX,CLT,MIA,1414,1440,26,23,1503,152,167,125,992,1708,19,1646,1727,23,0,0,,0.0,0.0,3.0,20.0,0.0
2015,2,18,3,F9,612,N656XX,IAH,ORD,1527,0,0,36,0,340,0,0,2417,0,14,1954,0,0,0,1,B,,,,,
2015,3,18,3,AA,8667,N873XX,MCO,LAS,530,531,1,28,559,304,312,275,2240,1034,9,1034,1043,-9,0,0,,,,,,
2015,12,29,2,UA,2986,N292XX,DEN,LAS,2003,1958,-5,27,2025,310,321,287,2300,112,7,113,119,1,0,0,,,,,,
2015,7,14,2,US,2643,N671XX,JFK,PHX,2014,2032,18,28,2100,108,131,88,568,2228,15,2202,2243,10,0,0,,,,,,
2015,12,2,3,US,1153,N807XX,MIA,MCO,708,710,2,33,743,148,175,125,1027,948,17,936,1005,2,0,0,,,,,,
2015,3,7,6,UA,7393,N508XX,SFO,MIA,831,822,-9,21,843,396,412,381,2863,1504,10,1507,1514,-1,0,0,,,,,,
2015,5,12,2,AS,2538,N779XX,SEA,LAS,952,0,0,40,0,216,0,0,1464,0,10,1207,0,0,0,1,A,,,,,
2015,10,18,7,US,5984,N422XX,LAS,PHX,558,555,-3,17,612,138,148,113,917,805,18,816,823,2,0,0,,,,,,
2015,1,31,6,EV,3944,N561XX,MCO,ORD,2141,2136,-5,18,2154,151,168,134,960,8,16,12,24,-11,0,0,,,,,,
2015,1,16,5,VX,4181,N393XX,DEN,SFO,1612,1610,-2,40,1650,130,167,109,727,1839,18,1822,1857,-7,0,0,,,,,,
2015,3,11,3,AS,2650,N641XX,PHX,SEA,1513,1553,40,30,1623,338,367,325,2459,2148,12,2051,2200,42,0,0,,0.0,0.0,39.0,0.0,3.0
2015,3,13,5,UA,7562,N430XX,ATL,MIA,1127,1122,-5,19,1141,87,92,67,397,1248,6,1254,1254,-5,0,0,,,,,,
2015,5,13,3,WN,5095,N738XX,JFK,MIA,1245,1251,6,12,1303,158,158,139,1013,1522,7,1523,1529,8,0,0,,,,,,
2015,12,30,3,AS,7757,N757XX,SEA,DFW,2105,2105,0,12,2117,359,367,347,2700,304,8,304,312,8,0,0,,,,,,
2015,10,1,4,AS,5895,N356XX,PHX,DEN,2123,2117,-6,40,2157,224,272,214,1546,131,18,107,149,-11,0,0,,,,,,
2015,12,9,3,DL,6626,N145XX,CLT,LAX,2038,2032,-6,38,2110,355,384,328,2573,238,18,233,256,-5,0,0,,,,,,
2015,9,17,4,B6,5644,N744XX,JFK,CLT,1253,1251,-2,11,1302,224,239,208,1533,1630,20,1637,1650,6,0,0,,,,,,
2015,1,25,7,B6,7860,N745XX,MCO,ATL,1441,1438,-3,39,1517,300,339,285,2135,2002,15,1941,2017,1,0,0,,,,,,
2015,2,5,4,UA,844,N755XX,IAH,LAS,927,942,15,16,958,298,318,286,2202,1444,16,1425,1500,14,0,0,,,,,,
2015,7,15,3,EV,8673,N964XX,ORD,PHX,1744,1739,-5,11,1750,76,85,62,380,1852,12,1900,1904,-10,0,0,,,,,,
2015,8,17,1,F9,1316,N177XX,PHX,SEA,756,752,-4,27,819,328,339,305,2310,1324,7,1324,1331,0,0,0,,,,,,
2015,6,7,7,OO,5774,N896XX,DEN,LAS,1644,1641,-3,39,1720,266,302,255,1874,2135,8,2110,2143,-12,0,0,,,,,,
2015,9,12,6,WN,7652,N529XX,PHX,DFW,1302,1305,3,36,1341,100,126,79,646,1500,11,1442,1511,-2,0,0,,,,,,
2015,5,4,1,DL,9948,N502XX,PHX,MIA,1354,1345,-9,13,1358,275,275,250,1955,1808,12,1829,1820,-7,0,0,,,,,,
2015,12,19,6,DL,5342,N230XX,MIA,LAS,1531,1533,2,32,1605,96,121,83,468,1728,6,1707,1734,-4,0,0,,,,,,
2015,12,7,1,VX,5945,N487XX,DFW,JFK,1401,1406,5,20,1426,110,125,87,649,1553,18,1551,1611,8,0,0,,,,,,
2015,12,1,2,AA,3742,N745XX,SEA,CLT,1516,1514,-2,32,1546,210,230,185,1392,1851,13,1846,1904,5,0,0,,,,,,
2015,4,27,1,OO,7222,N238XX,ATL,CLT,1500,1454,-6,16,1510,400,415,385,2921,2135,14,2140,2149,-6,0,0,,,,,,
2015,3,20,5,WN,7735,N450XX,IAH,ORD,2352,2344,-8,10,2354,356,357,342,2677,536,5,548,541,-10,0,0,,,,,,
2015,4,14,2,AA,6012,N167XX,DFW,ORD,813,818,5,17,835,62,66,34,228,909,15,915,924,-3,0,0,,,,,,
2015,12,25,5,AA,9526,N312XX,IAH,MCO,1420,1416,-4,40,1456,216,251,200,1432,1816,11,1756,1827,1,0,0,,,,,,
2015,8,1,6,MQ,6313,N773XX,DEN,SFO,920,919,-1,11,930,246,260,233,1748,1323,16,1326,1339,-10,0,0,,,,,,
2015,3,2,1,F9,2855,N318XX,ORD,SFO,1456,1447,-9,37,1524,143,169,124,828,1728,8,1719,1736,-13,0,0,,,,,,
2015,9,10,4,AS,4767,N533XX,IAH,ORD,2304,2342,38,39,21,74,104,48,371,109,17,18,126,42,0,0,,0.0,0.0,0.0,42.0,0.0
2015,5,11,1,F9,3795,N272XX,SEA,CLT,823,828,5,39,907,290,304,260,2107,1327,5,1313,1332,3,0,0,,,,,,
2015,10,28,3,WN,6147,N482XX,LAX,PHX,1337,1332,-5,39,1411,341,378,320,2471,1931,19,1918,1950,-4,1,0,,,,,,
2015,3,3,2,B6,272,N907XX,SEA,JFK,749,744,-5,15,759,369,369,339,2681,1338,15,1358,1353,-5,0,0,,,,,,
2015,1,12,1,HA,5849,N923XX,MIA,JFK,1033,1104,31,14,1118,327,339,312,2317,1630,13,1600,1643,26,0,0,,0.0,0.0,5.0,21.0,0.0
2015,3,11,3,OO,377,N518XX,IAH,PHX,1228,1232,4,40,1312,344,389,334,2544,1846,15,1812,1901,0,0,0,,,,,,
2015,8,15,6,WN,7128,N288XX,PHX,CLT,2138,2134,-4,26,2200,387,396,363,2780,403,7,405,410,5,0,0,,,,,,
2015,10,22,4,US,8946,N839XX,ATL,ORD,1213,1217,4,34,1251,285,307,261,2062,1712,12,1658,1724,1,0,0,,,,,,
2015,6,1,1,MQ,2839,N436XX,DEN,SEA,1954,2123,89,23,2146,108,134,93,571,2319,18,2142,2337,99,0,0,,0.0,0.0,0.0,80.0,19.0
2015,11,15,7,NK,1400,N281XX,ORD,LAX,1521,1512,-9,35,1547,352,369,322,2639,2109,12,2113,2121,-17,0,0,,,,,,
2015,1,19,1,DL,9025,N137XX,DEN,MIA,758,955,117,10,1005,294,300,271,2145,1436,19,1252,1455,117,0,0,,0.0,0.0,0.0,117.0,0.0
2015,7,30,4,OO,9233,N282XX,DFW,JFK,648,826,98,20,846,404,432,394,2965,1520,18,1332,1538,91,0,0,,0.0,0.0,20.0,71.0,0.0
2015,1,21,3,NK,4146,N211XX,ORD,SFO,1252,1244,-8,34,1318,280,304,250,2017,1728,20,1732,1748,2,0,0,,,,,,
2015,3,6,5,MQ,4218,N114XX,LAS,CLT,2210,2227,17,25,2252,203,221,189,1386,201,7,133,208,17,0,0,,0.0,0.0,0.0,17.0,0.0
2015,7,19,7,US,5234,N172XX,PHX,JFK,1430,1421,-9,17,1438,316,329,297,2234,1935,15,1946,1950,0,0,0,,,,,,
